ETEC PROF MARIA CRISTINA MEDEIROS,LABORATORIO,PC1,1600 x 900px,Microsoft Windows NT 6.2.9200.0,GenuineIntel Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz 3408GHZ,7,91 GB,464,46 GB,Success,3 / 3 connected,True
ETEC PROF MARIA CRISTINA MEDEIROS,LABORATORIO,PC27,1920 x 1080px,Microsoft Windows NT 6.2.9200.0,AuthenticAMD AMD Ryzen 5 PRO 3400G with Radeon Vega Graphics 3700GHZ,13,93 GB,475,69 GB,Success,3 / 3 connected,True
